group_id,method_id,group_size
1,0fed5afa4d202fbd644d049d6175883f,3
1,4c8e90509ff5320336fde5c7ccf32da2,3
1,7f822de0449bd3eff60cc80e7e8cba2d,3
2,48365b46d17f09c46e09eeb5df3f7cbc,14
2,4981a7f043bf0cb3d0e16e9e25d7ff61,14
2,6a86fa42b8d8ceb5d576cb9ec94d8ecc,14
2,90193f7be859ab74851a160024675509,14
2,90e21befbae3adc6aafbfb3812652c53,14
2,927117835069888d07fd7d4bbf3aade1,14
2,af09617ff8368b78fd2ef8165eaf80b7,14
2,ce9654be06c5e8a969c940a971d0c606,14
2,d4921790b443d7cc0f48bfbaa6b94cda,14
2,dbbd3c080e2c7f2fdac4167c18b71ebc,14
2,dda2dfefaeba02120db5fa591431b0d9,14
2,e0d337ea5f839bf2f6b467d85bd535d8,14
2,e6ab1170046328219dafe746976f95cd,14
2,fccb548b077af16b453a1e6c28e1400d,14
3,1b3c20404e86b46dfa649787ec028985,7
3,1ed3148566495f484447c2056b98930f,7
3,6be9323fcc7a1d87091016657d566a8d,7
3,92101c178154b634926ff06734f27054,7
3,9cd99f34ecd06369560b12550a19ac49,7
3,a5de3d27c97c9c24ef7a7197b6930083,7
3,b166babe7107cb28a3b9a27f48df9768,7
4,020ea1b44cbaa344543a60a4d31473f7,6
4,1ba1a98ef664cf9ec922545e4e2159ff,6
4,94c5a5a908f097315765eb9f60eac29c,6
4,95eccc9bbef120e458a6c63ac7537e7b,6
4,b5f056d25a17087684c5e3bccf42e72e,6
4,fe9c553cebdf4e5bbab94cd8f6718726,6
5,3171eba15053b8ef7ada905559c1eb44,2
5,367271528261e3fd2a31259b20782114,2
6,82ca0f9819480c2de5ad985f24db8b0e,4
6,879b7ede959ba98ac88d0aae15ec1d45,4
6,8ef55f0bce98ca1fc07a9566ca2fb6fd,4
6,ea2131ed89f52dd9883ed6c644dad115,4
7,041df774d36d76e4118e3a9b5235e8cd,2
7,260bd54f5c39602dfad9303c2b099b55,2
8,2f1d53cb9cc7d060795b24b2f7d3c7c1,2
8,eed05e3a88b4b1c2cb3d5f9179ff7911,2
9,04dfbb70bec27538e6c7ddad6e7fb607,3
9,9af2047bbfa4e10bcf55f6693be7a83e,3
9,fbb5a2b14dee2f1fc42f44d8c8c88c54,3
10,731a2ae3dd1ace0238c37be03ee0140b,2
10,bfd02b7ad03355958593cad44112b2e5,2
11,205a294ecc9ae9e81e58339cddb54008,2
11,933b6ed2c9faa540eac6aa0232ce1946,2
12,3223b11f28a152bc3eee486d96478e8d,2
12,ca2bb950e783b723c0104aa3287541fe,2
13,0b0db1106d3d59cf56e3f21b1b62b97b,3
13,204d441a8c677afdaf8520c144fd194f,3
13,9a2295396d61923b42a7e17b2ed32b76,3
14,338acf3c89db9930733fb4ade1a8ae90,4
14,b0cdecba5eb75d695e4c50de2295b30e,4
14,c680d17e80a532ac58161ce987b7413b,4
14,f1c32869bddd8b645f170d8899bc4196,4
15,4e25a5014b4179b90637b04f9902ac31,7
15,6326351c2faefbf3895126069a8130cf,7
