token_hash,file_path,method_name,group_id,group_size,group_avg_similarity,is_deleted,high_similarity_count,medium_similarity_count,low_similarity_count,very_low_similarity_count,total_similar_methods,max_similarity,min_similarity,avg_similarity,std_similarity,median_similarity,similarity_range,high_similarity_ratio,connectivity_score
d84a64427447c7f8d355a239e3ace737,/app/Repos/pandas/ci/check_imports.py,main,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
ca15863f0cbf7eaaf105f55612333c80,/app/Repos/pandas/ci/print_versions.py,show_versions,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
38a8df522dc6cd6b7c325afca48af8b7,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
52244c53e8b245fed97bdb74b604ffab,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
85b4221f042e1764040d0cc920e7936b,/app/Repos/pandas/ci/print_skipped.py,parse_results,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
795c033e7eb5c2416ca0cb35d50b98fc,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,setup,177,4,83.33333333333333,False,2,1,0,0,3,93.0,79.0,85.33333333333333,5.792715732327589,84.0,14.0,0.6666666666666666,0.06666666666666667
2f3b40f013df083f0da847e57ce734b3,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,setup,177,4,83.33333333333333,False,1,2,0,0,3,81.0,79.0,79.66666666666667,0.9428090415820634,79.0,2.0,0.3333333333333333,0.06666666666666667
3a3de304076360397939c3488f9c84de,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,setup,177,4,83.33333333333333,False,3,0,0,0,3,84.0,81.0,83.0,1.4142135623730951,84.0,3.0,1.0,0.06666666666666667
653c9427c7906a71d970264351154b1a,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,setup,177,4,83.33333333333333,False,2,1,0,0,3,93.0,79.0,85.33333333333333,5.792715732327589,84.0,14.0,0.6666666666666666,0.06666666666666667
beeb2f81779e9f3b468e77455f176474,/app/Repos/pandas/asv_bench/benchmarks/ctors.py,setup,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
21bb29e3716626730ace58c5fc501ba3,/app/Repos/pandas/asv_bench/vbench_to_asv.py,vbench_to_asv_source,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
ec536b5e02feb797d5ca72b3efe7a55b,/app/Repos/pandas/asv_bench/vbench_to_asv.py,visit_ClassDef,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
a644bd5530afec635bec41e245303cf8,/app/Repos/pandas/asv_bench/vbench_to_asv.py,visit_TryExcept,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
6d7cbd84b684785ef38045cfb1990e92,/app/Repos/pandas/asv_bench/vbench_to_asv.py,visit_Assign,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
24e517417b266620e20e7e561ab69c86,/app/Repos/pandas/asv_bench/vbench_to_asv.py,visit_Name,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
460aff5de14f8834218752f7922827fb,/app/Repos/pandas/asv_bench/vbench_to_asv.py,translate_module,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
1caa8c0f3ed837d84b5d4a689d9517d7,/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,setup,128,5,82.83333333333333,False,1,1,0,0,2,100.0,79.0,89.5,10.5,89.5,21.0,0.5,0.044444444444444446
f1be72ef274399dd0b369c17316188dc,/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,setup,128,5,82.83333333333333,False,2,0,0,0,2,100.0,85.0,92.5,7.5,92.5,15.0,1.0,0.044444444444444446
2c17dad009e2acc13dac1394f7059884,/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,setup,571,2,71.0,False,0,1,0,0,1,71.0,71.0,71.0,0.0,71.0,0.0,0.0,0.022222222222222223
3e30dfd75a7f57d48c425da2eaeae93b,/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,setup,571,2,71.0,True,0,1,0,0,1,71.0,71.0,71.0,0.0,71.0,0.0,0.0,0.022222222222222223
3ce464756d5433dd18de3c45a9f708c4,/app/Repos/pandas/asv_bench/benchmarks/gil.py,setup,-1,0,0.0,False,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0
