/app/Repos/pandas/scripts/bench_join.py,41,49,do_outer_join,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,49,56,do_inner_join,None,[a:Any;b:Any;av:Any;bv:Any],76
/app/Repos/pandas/bench/bench_with_subset.py,24,30,bench_with,None,[n:Any;times:Any;repeat:Any;engine:Any],/app/Repos/pandas/bench/bench_with_subset.py,33,39,bench_subset,None,[n:Any;times:Any;repeat:Any;engine:Any],40,87
/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],75
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[],18,76
/app/Repos/pandas/bench/bench_unique.py,151,169,dict_unique,None,[values:Any;expected_K:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],57,88
/app/Repos/pandas/bench/test.py,14,31,groupby1,None,[lat:Any;lon:Any;data:Any],/app/Repos/pandas/bench/test.py,31,46,group_mean,None,[lat:Any;lon:Any;data:Any],61,84
/app/Repos/pandas/bench/bench_unique.py,32,39,algo1,None,[],/app/Repos/pandas/bench/bench_unique.py,39,48,algo2,None,[],57,91
/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[],13,76
/app/Repos/pandas/doc/sphinxext/phantom_import.py,42,183,import_phantom_module,None,[xml_file:Any],/app/Repos/pandas/doc/sphinxext/phantom_import.py,89,107,base_cmp,None,[a:Any;b:Any],100
/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,215,229,khash_unique_int64,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any],34,90
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[],68,92
