/app/Repos/pandas/scripts/json_manip.py,176,239,denorm,None,[queries:Any;iterable_of_things:Any;default:Any],/app/Repos/pandas/scripts/json_manip.py,204,236,_denorm,None,[queries:Any;thing:Any],100
/app/Repos/pandas/bench/bench_with_subset.py,24,30,bench_with,None,[n:Any;times:Any;repeat:Any;engine:Any],/app/Repos/pandas/bench/bench_with_subset.py,33,39,bench_subset,None,[n:Any;times:Any;repeat:Any;engine:Any],40,87
/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,215,229,khash_unique_int64,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any],34,90
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[],68,92
/app/Repos/pandas/bench/io_roundtrip.py,99,109,pandas_roundtrip,None,[filename:Any;dma1:Any;dma2:Any],/app/Repos/pandas/bench/serialize.py,76,85,pandas_roundtrip,None,[filename:Any;dma1:Any;dma2:Any],100
/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,215,229,khash_unique_int64,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any],34,90
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[],18,76
/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[],13,76
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[],68,92
/app/Repos/pandas/scripts/file_sizes.py,157,176,doit,None,[],/app/Repos/pandas/scripts/file_sizes.py,176,189,doit2,None,[],46,72
/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[],/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[],59,88
/app/Repos/pandas/scripts/testmed.py,36,45,__getitem__,None,[self:Any;i:Any],/app/Repos/pandas/scripts/testmed.py,45,71,insert,None,[self:Any;value:Any],28,75
/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[],13,73
/app/Repos/pandas/vb_suite/perf_HEAD.py,195,233,get_all_results,None,[repo_id:Any],/app/Repos/pandas/vb_suite/perf_HEAD.py,202,213,get_results_from_builds,None,[builds:Any],100
/app/Repos/pandas/vb_suite/test_perf.py,258,279,prep_pickle_for_total,None,[df:Any;agg_name:Any],/app/Repos/pandas/vb_suite/test_perf.py,268,277,prep,None,[df:Any],100
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,49,66,_str_returns,None,[self:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,66,83,_str_param_list,None,[self:Any;name:Any],54,91
